127.0.0.1 - - [17/Mar/2021:15:07:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:41 +0900] "GET /dalboo/ HTTP/1.1" 200 16013
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:41 +0900] "GET /dalboo/resources/css/common/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:41 +0900] "GET /dalboo/resources/css/common/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:41 +0900] "GET /dalboo/resources/css/common/mainPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:41 +0900] "GET /dalboo/resources/css/common/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:41 +0900] "GET /dalboo/resources/images/slideImage.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:41 +0900] "GET /dalboo/resources/images/smartphone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:41 +0900] "GET /dalboo/resources/images/mainBeans.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:42 +0900] "GET /dalboo/resources/images/mainCoffeeimg5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:42 +0900] "GET /dalboo/resources/images/mainMdimg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:42 +0900] "GET /dalboo/resources/images/%EB%A9%94%EC%9D%B8%EC%B0%BD%EC%97%85%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:42 +0900] "GET /dalboo/resources/images/MainVoteResult.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:42 +0900] "GET /dalboo/resources/images/MainSlideImg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:42 +0900] "GET /dalboo/resources/images/MainSlideImg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:15:08:42 +0900] "GET /dalboo/resources/images/MainSlideImg2.jpg HTTP/1.1" 304 -
