127.0.0.1 - - [14/Apr/2021:23:20:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/ HTTP/1.1" 200 16013
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/css/common/nav.css HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/css/common/content.css HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/css/common/mainPage.css HTTP/1.1" 200 4101
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/css/common/base.css HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/css/common/header.css HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/css/common/footer.css HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/slideImage3.jpg HTTP/1.1" 200 81300
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/slideImage.JPG HTTP/1.1" 200 93107
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/mainBeans.png HTTP/1.1" 200 12884
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/logo.png HTTP/1.1" 200 14232
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/smartphone.png HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/slideImage2.jpg HTTP/1.1" 200 65025
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/dalboofooter.png HTTP/1.1" 200 14232
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/instargram.png HTTP/1.1" 200 19125
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/twitter.png HTTP/1.1" 200 16636
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/facebook.png HTTP/1.1" 200 14093
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/mainMdimg.jpg HTTP/1.1" 200 139531
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/%EB%A9%94%EC%9D%B8%EC%B0%BD%EC%97%85%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 200 436231
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/mainCoffeeimg5.jpg HTTP/1.1" 200 83494
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/MainSlideImg3.jpg HTTP/1.1" 200 556324
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/MainVoteResult.png HTTP/1.1" 200 215585
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/MainSlideImg2.jpg HTTP/1.1" 200 136119
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /dalboo/resources/images/MainSlideImg1.jpg HTTP/1.1" 200 97628
0:0:0:0:0:0:0:1 - - [14/Apr/2021:23:20:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.0.1 - - [14/Apr/2021:23:20:41 +0900] "GET /dalboo/ HTTP/1.1" 200 16013
192.168.0.1 - - [14/Apr/2021:23:20:41 +0900] "GET /dalboo/resources/css/common/base.css HTTP/1.1" 200 305
192.168.0.1 - - [14/Apr/2021:23:20:41 +0900] "GET /dalboo/resources/css/common/content.css HTTP/1.1" 200 166
192.168.0.1 - - [14/Apr/2021:23:20:41 +0900] "GET /dalboo/resources/css/common/footer.css HTTP/1.1" 200 542
192.168.0.1 - - [14/Apr/2021:23:20:41 +0900] "GET /dalboo/resources/css/common/mainPage.css HTTP/1.1" 200 4101
192.168.0.1 - - [14/Apr/2021:23:20:41 +0900] "GET /dalboo/resources/css/common/nav.css HTTP/1.1" 200 1295
192.168.0.1 - - [14/Apr/2021:23:20:41 +0900] "GET /dalboo/resources/css/common/header.css HTTP/1.1" 200 447
192.168.0.1 - - [14/Apr/2021:23:20:41 +0900] "GET /dalboo/resources/images/logo.png HTTP/1.1" 200 14232
